FECHA FACT.,FACTURA DATAICO,ORDEN DATAICO,ORDEN SIGES,VALOR SIGES,ESTADO,MOTIVO,VERIFICACION
03/06/2025 08:28:04,FEEJ43100,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:28:13,FEEJ43101,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:28:22,FEEJ43102,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:28:30,FEEJ43103,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:28:39,FEEJ43104,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:28:48,FEEJ43105,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:28:57,FEEJ43106,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:29:06,FEEJ43107,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:29:15,FEEJ43108,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:29:24,FEEJ43109,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:29:35,FEEJ43110,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:29:45,FEEJ43111,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:29:54,FEEJ43112,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:30:03,FEEJ43113,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:30:13,FEEJ43114,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:30:22,FEEJ43115,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:30:31,FEEJ43116,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:30:40,FEEJ43117,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:30:50,FEEJ43118,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:31:00,FEEJ43119,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:31:10,FEEJ43120,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:31:20,FEEJ43121,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:31:29,FEEJ43122,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:31:40,FEEJ43123,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:31:49,FEEJ43124,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:32:00,FEEJ43125,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:32:09,FEEJ43126,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:32:18,FEEJ43127,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:32:28,FEEJ43128,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:32:37,FEEJ43129,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:32:46,FEEJ43130,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:32:55,FEEJ43131,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:33:04,FEEJ43132,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:33:14,FEEJ43133,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:33:23,FEEJ43134,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 08:33:33,FEEJ43135,369,,,NO SUBIDA,REPETIDA,CANASTILLA
